file_name,coverage,precision,f1_score
01005_wk12_2_aug.jpg,0.9996302382908792,0.13936717416457595,0.24462854787303562
02019_wk04_aug.jpg,0.9999847737377429,0.2129049408210172,0.3510652230273128
01013_wk00_2_aug.jpg,0.9995833133594162,0.29308370715631804,0.45326689463167485
02068_wk04_aug.jpg,0.8458608693813244,0.652024647887324,0.7364009187106751
02013_wk04_aug.jpg,0.9949663248304508,0.18519319303579074,0.3122645504593913
02063_wk00_2_aug.jpg,0.9763216796031362,0.6661055508051715,0.7919173259120945
01014_wk04_aug.jpg,0.9999794358570107,0.31607798274464943,0.48033084028757556
01066_wk04_aug.jpg,0.6475415418142195,0.2515110235283226,0.36230103163489846
01011_wk12_2_aug.jpg,1.0,0.11760299141711282,0.21045575632898592
02007_wk12_aug.jpg,0.9642698032562999,0.6660794076343675,0.7879051372089585
01013_wk12_aug.jpg,1.0,0.15377834322507314,0.2665647940578043
01063_wk12_aug.jpg,0.9998045273173074,0.4136197906594894,0.5851589420526486
01067_wk04_aug.jpg,0.7468638047240269,0.34315645575270615,0.4702502246095616
02031_wk00_2_aug.jpg,0.9132942533606422,0.2479206275662635,0.3899786132005057
01047_wk04_3_aug.jpg,0.007840786476441673,0.048902680674468166,0.013514700336317655
01041_wk04_aug.jpg,0.8666928824223358,0.3219126907887715,0.4694567216512581
02065_wk04_2_aug.jpg,0.6293162041615253,0.4900405917721591,0.5510137361374329
02013_wk00_aug.jpg,0.9914696196179911,0.6274719772132636,0.7685507664837992
01013_wk00_aug.jpg,0.9999934048902739,0.3502163062332689,0.5187549661850376
02002_wk04_2_aug.jpg,0.6431075368594701,0.04055235723782373,0.07629386132558674
02037_wk16_aug.jpg,0.9991741607687813,0.5309759800559847,0.6934449961555468
01046_wk12_aug.jpg,0.9806966207287143,0.35653740562800273,0.5229526350229022
01063_wk04_2_aug.jpg,0.8901171171769645,0.41404243879376673,0.5651858475763046
02063_wk12_aug.jpg,0.44192011725906927,0.022765025672002417,0.04329952427968764
02013_wk04_2_aug.jpg,0.9972472183025284,0.3789673557115418,0.549222698911683
02028_wk12_2_aug.jpg,0.5112753122410018,0.23871726650007125,0.32547054044725127
02038_wk16_aug.jpg,0.9988875154511743,0.008757148167132465,0.01736208465332229
01061_wk00_aug.jpg,0.7068201428357308,0.5203670649565997,0.5994292001157746
02037_wk00_aug.jpg,0.9983206537052691,0.31818149161942944,0.48256230472314615
02002_wk00_aug.jpg,0.9997649892776358,0.11082875974781597,0.1995377948023902
01003_wk16_2_aug.jpg,0.9987408173140369,0.25504551600958764,0.4063281921991519
01067_wk00_2_aug.jpg,0.3114538242507036,0.22517328573553475,0.2613773313212864
01063_wk00_2_aug.jpg,0.9850542939801055,0.4858826777829634,0.6507699885291264
01042_wk16_aug.jpg,0.942697828923953,0.45695179257993496,0.6155361401450807
02041_wk12_2_aug.jpg,0.9998756222872105,0.3383822685023291,0.5056427219571435
01001_wk16_aug.jpg,1.0,0.014286330640377086,0.02817021231343482
02002_wk12_2_aug.jpg,0.9999891353947111,0.09970049015625423,0.18132281078823542
02028_wk00_2_aug.jpg,0.9963241668689531,0.05653838887926827,0.10700459027383356
02057_wk16_2_aug.jpg,0.999994468307551,0.3899763782075482,0.5611257559191193
01040_wk16_aug.jpg,1.0,0.1523189454223937,0.26436941964285715
02031_wk12_2_aug.jpg,1.0,0.17221235629498083,0.29382450265119797
01011_wk12_aug.jpg,0.9972149896180086,0.08427243254083201,0.15541139216124383
01039_wk00_2_aug.jpg,0.9999752002579173,0.2170047510489119,0.3566194646904985
01001_wk00_2_aug.jpg,0.9979332077924774,0.6739189524436151,0.8045281969300817
01068_wk00_aug.jpg,0.9962813767041503,0.41364319327602905,0.5845773863876087
02063_wk00_aug.jpg,0.5354954903086165,0.7710302163640885,0.6320322694700362
02008_wk04_aug.jpg,0.9024002338839351,0.28202326240097947,0.42974131929941806
01005_wk16_1_aug.jpg,0.9085724576779926,0.08391968993795432,0.15364780289225366
01061_wk12_aug.jpg,0.9938798734755688,0.3244096975440259,0.48915545755237044
01029_wk16_aug.jpg,0.9817105277297199,0.5371318709100851,0.6943551390503987
02037_wk16_2_aug.jpg,0.8981886178267071,0.30250570107431185,0.45258343152872665
02019_wk04_2_aug.jpg,0.9730597238824096,0.2308431878291187,0.37316000555194356
01042_wk00_aug.jpg,0.9998813971416711,0.03107113504269724,0.06026940901235164
02041_wk16_aug.jpg,0.999893886337108,0.14263117321492091,0.24965060837196276
01061_wk16_aug.jpg,0.9998948432287802,0.18544703185066722,0.3128675949748882
01044_wk00_2_aug.jpg,0.4581938438056474,0.31871266385436425,0.3759324425298152
02041_wk12_aug.jpg,0.999954676617667,0.14286747287022497,0.25001440109844963
